"product_title：VIZIO 32 inch D-Series HD 720p Smart TV with Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D32h-J, 2022 Model",,,,
asin：B094RKDNMZ,,,,
product_link：https://www.amazon.com/-/zh/dp/B094RKDNMZ/ref=sims_dp_d_dex_popular_subs_t1_v6_d_sccl_2_6/145-6930307-1678620?pd_rd_w=xQWmL&content-id=amzn1.sym.7e9f1c55-8db7-45c5-bfbf-adf1bc16de34&pf_rd_p=7e9f1c55-8db7-45c5-bfbf-adf1bc16de34&pf_rd_r=3NVT4J6HG1720G4Z1QMH&pd_rd_wg=Rgbjt&pd_rd_r=ada5fa29-2a7d-44db-99fc-642b1a6d2041&pd_rd_i=B094RKDNMZ&th=1,,,,
image_url：https://m.media-amazon.com/images/I/81qFhtzh5KL._AC_SX679_.jpg,,,,
crawling_time：2024-11-22 15:43:57,,,,
评论星级统计：,,,,
1星评论数量：21,,,,
2星评论数量：11,,,,
3星评论数量：18,,,,
总评论数量50,,,,
rating,title,content,date,verified
3,,This is the 1st time I've purchased a Vizio television. The screws don't fit--have to get smaller diameter screws. Never had that problem before. 😕,"Reviewed in the United States on November 4, 2024",TRUE
3,,I like it but too big for me! Not sage for my animals or me!,"Reviewed in the United States on September 9, 2024",TRUE
3,,"Bought this for a game room, but it was not setup for Bluetooth capable for wireless headphones for gaming system or gaming chair.","Reviewed in the United States on June 24, 2024",TRUE
3,,Brought this because my last tv went out and this is the worst tv ever it always freezes and it has less apps available than what the Roku brand offers don’t buy,"Reviewed in the United States on May 28, 2024",TRUE
3,,"Can't complain too much for what I payed. Not the best picture. No matter how much I adjusted the settings, could'nt get good picture. All that shadowing and spotty pixels. It's a bedroom TV so I'll leave it at that.","Reviewed in the United States on April 18, 2024",TRUE
3,,"Not bad for the money. Only issue I have is sometimes when it is trying to find channels it will just lock up. You then have to turn on/off to get it to work again. Also, it does not find channels well for use.","Reviewed in the United States on March 5, 2024",TRUE
3,,Good Lil tv but always losses wifi connection in between uses nice picture tho,"Reviewed in the United States on May 16, 2024",TRUE
3,,,"Reviewed in the United States on April 4, 2024",TRUE
3,,"For some reason this doesn't seem like its 32"". Idk why but it looks smaller than the 32"" roku I had. But either way still does the job. Just wish it wasn't so expensive.","Reviewed in the United States on February 13, 2024",TRUE
2,,Menu screens takes days to display. Awful experience will return for tcl roku tv.,"Reviewed in the United States on September 30, 2024",TRUE
3,,Tv works fine. But we received one without any screen protection and it was scratched straight out of the box. Also the power cord is shorter than expected and we had to use an extension cord.,"Reviewed in the United States on January 5, 2024",TRUE
3,,My mistake was to send this to another country and this tv only functions in USA or Canada,"Reviewed in the United States on March 12, 2024",TRUE
2,,I NEVER TOLD ANYONE TO PUT REFUND ON MY ACCOUNT.I AWAYS WANT IT GOING BACK TO MY CARD.. THANKS,"Reviewed in the United States on August 18, 2024",TRUE
3,,Screen is washed out somewhat when viewed from the side. its good when viewed straight forward.,"Reviewed in the United States on November 29, 2023",TRUE
3,,Did not like the picture quality,"Reviewed in the United States on December 28, 2023",TRUE
3,,"Great Price if you only watch Apps!
Unable to navigate antennae channels","Reviewed in the United States on November 11, 2023",TRUE
1,,I could never get my disney plus app to work nor my peacock app. Will likely now need to buy something to cast my apps.,"Reviewed in the United States on November 8, 2024",TRUE
2,,Every other television in the he house as well as Alexa is connected to the Internet and this TV refuses to connect even when connected directly. Vizio used to be better than this.,"Reviewed in the United States on April 25, 2024",TRUE
2,,"Easy set up but tv pops on, on its on, even when turned off with remote, have to unplug to keep off","Reviewed in the United States on May 16, 2024",TRUE
2,,"Vizio is selling a product that only works on a 3G network, well Spectrum is a 5G network and it doesn’t work. Buyer beware in future. No wonder they are on sale","Reviewed in the United States on March 17, 2024",TRUE
2,,Was misled by info that said steaming. Could have bought a Roku for my older unit.,"Reviewed in the United States on April 6, 2024",TRUE
2,,Corner of the TV is cracked. Remote smells like it was stored in an ash tray with a hundred old cigarette butts.,"Reviewed in the United States on March 7, 2024",TRUE
1,,Will not stay connected despite excellent signal. Biggest piece of junk ever owned in 54 years.,"Reviewed in the United States on October 8, 2024",TRUE
1,,This television only works in the United States. Not supported in any other region. Do not buy if you are in another country. Horrible.,"Reviewed in the United States on August 28, 2024",TRUE
1,,It’s too confusing for her. So I’m returning the product.,"Reviewed in the United States on September 26, 2024",TRUE
2,,This tv has many issues. It is very slow and loses internet connection for no reason. It also makes it difficult to just use an antenna,"Reviewed in the United States on February 15, 2024",TRUE
1,,Could not get it to connect to the WiFi. Returned,"Reviewed in the United States on October 16, 2024",TRUE
1,,"Shipping was so fast, but when i open the item, it glass was broken. So sad and disappointed.","Reviewed in the United States on September 11, 2024",TRUE
1,,This TV will not stay on the input that is selected and defaults back to their own channel ever time it’s powered off and back on…VERY annoying,"Reviewed in the United States on August 21, 2024",TRUE
2,,"Received tv box was destroyed terribly, looked as though that has kicked it all over the truck. We did pull the the TV out and check it. No damage seen hope it works since it a Christmas present.","Reviewed in the United States on November 16, 2023",TRUE
3,,"This TV has NO ethernet port but in the description it claims to have ethernet connetivity
32 inch, 720p model","Reviewed in the United States on April 17, 2022",TRUE
1,,La pantalla llegó rota un,"Reviewed in the United States on August 7, 2024",TRUE
1,,I purchased this television less than two months ago and it’s already broke,"Reviewed in the United States on July 13, 2024",TRUE
3,,No ESPN plus app market isn’t very good,"Reviewed in the United States on July 18, 2022",TRUE
1,,"Was impossible to set up, and they charge for customer service!","Reviewed in the United States on June 26, 2024",TRUE
1,,I did not receive a remote for this tv,"Reviewed in the United States on June 26, 2024",TRUE
3,,I bought this tv as a gift but the recipient informed me that it arrived without a remote. I’m so disappointed.,"Reviewed in the United States on December 18, 2021",TRUE
1,,no direction included. did not send remote xrt140,"Reviewed in the United States on July 20, 2024",TRUE
1,,El televisor que compré no es de 32 pulgadas es muy pequeño siento que están engañando las personas,"Reviewed in the United States on May 12, 2024",TRUE
1,,"This is a the first Vizio tv I HATED!!! It freezes constantly, internet doesn’t stay connected to the tv, very slow when turning on. This is the worst tv ever!!!","Reviewed in the United States on February 18, 2024",TRUE
1,,Garbage. Don’t buy.,"Reviewed in the United States on July 16, 2024",TRUE
1,,No speaker,"Reviewed in the United States on July 12, 2024",TRUE
1,,Le salen rallas en la pantalla color verde,"Reviewed in the United States on June 16, 2024",TRUE
1,,"TV’s aren’t worth it. Can’t stay connected to wifi, slow AF, and quality is only good if I’m on the input with my Xbox!","Reviewed in the United States on March 12, 2024",TRUE
1,,No-good,"Reviewed in the United States on June 14, 2024",TRUE
1,,Product description says Ethernet connectivity. There is no Ethernet.,"Reviewed in the United States on March 19, 2024",TRUE
1,,"I didn't like it I sent it back
So where is my refund from tv

Thank u","Reviewed in the United States on March 9, 2024",TRUE
1,,We are having issues with this tv freezing mid show. Please advise,"Reviewed in the United States on March 3, 2024",TRUE
1,,Won't connect. Won't update. Can't use any of the smart TV features. Save your money.,"Reviewed in the United States on January 31, 2024",TRUE
